Sample_ID	cycle	Family	yld.BLUE_mv	height.BLUE_raw	DON.BLUE_mv
6B03-4304	C0	0	6526.402	85.007	11.78
6B03-4478	C0	0	7100.15	80.252	15.956
6B04-0290	C0	0	6242.122	84.019	18.017
6B05-0922	C0	0	6745.364	85.019	11.523
6B06-1132	C0	0	6649.588	85.479	15.782
CELEBRATION	C0	0	6512.843	91.989	16.558
FEG141-20	C0	0	6490.428	85.684	14.476
FEG153-58	C0	0	6237.816	85.226	11.724
FEG154-47	C0	0	6183.055	85.398	10.303
FEG175-57	C0	0	6106.058	87.625	10.56
M122	C0	0	6786.131	85.996	11.781
M138	C0	0	6462.769	84.786	9.651
MS10S3001-007	C1	MS10S3001	6595.46	88.452	9.152
MS10S3001-013	C1	MS10S3001	7141.615	88.176	8.604
MS10S3001-017	C1	MS10S3001	6673.31	84.551	9.129
MS10S3002-012	C1	MS10S3002	6524.832	87.016	15.127
MS10S3002-014	C1	MS10S3002	6397.225	87.046	13.367
MS10S3002-015	C1	MS10S3002	6097.22	88.191	11.966
MS10S3002-021	C1	MS10S3002	6717.502	89.752	11.271
MS10S3002-024	C1	MS10S3002	6641.747	84.29	11.814
MS10S3003-002	C1	MS10S3003	6449.053	89.038	12.864
MS10S3004-006	C1	MS10S3004	6577.837	87.445	8.266
MS10S3004-013	C1	MS10S3004	6434.721	86.153	12.428
MS10S3004-016	C1	MS10S3004	6531.83	83.446	8.97
MS10S3004-018	C1	MS10S3004	5933.428	86.147	13.838
MS10S3005-005	C1	MS10S3005	6293.799	88.296	10.706
MS10S3007-005	C1	MS10S3007	5662.506	86.765	8.505
MS10S3007-024	C1	MS10S3007	6195.609	86.811	10.201
MS10S3008-001	C1	MS10S3008	6091.645	85.185	10.487
MS10S3008-002	C1	MS10S3008	6673.04	93.983	7.412
MS10S3008-003	C1	MS10S3008	6108.825	89.303	10.927
MS10S3008-004	C1	MS10S3008	6367.284	85.381	7.204
MS10S3008-005	C1	MS10S3008	5952.825	82.799	11.828
MS10S3008-007	C1	MS10S3008	6324.856	90.38	7.249
MS10S3008-009	C1	MS10S3008	6279.735	87.472	13.499
MS10S3008-010	C1	MS10S3008	6248.004	87.091	8.146
MS10S3008-012	C1	MS10S3008	6267.889	92.633	8.439
MS10S3008-014	C1	MS10S3008	6881.784	81.923	14.669
MS10S3012-020	C1	MS10S3012	6106.679	81.138	8.696
MS10S3013-001	C1	MS10S3013	5997.684	83.078	12.354
MS10S3013-006	C1	MS10S3013	5950.419	88.227	9.293
MS10S3013-008	C1	MS10S3013	6688.237	88.285	9.047
MS10S3013-009	C1	MS10S3013	6671	86.075	6.863
MS10S3013-019	C1	MS10S3013	6336.142	87.178	10.55
MS10S3013-020	C1	MS10S3013	6778.1	85.847	13.139
MS10S3013-023	C1	MS10S3013	6224.038	89.189	10.926
MS10S3014-014	C1	MS10S3014	6629.249	87.244	10.481
MS10S3015-002	C1	MS10S3015	5691.296	87.409	13.578
MS10S3016-004	C1	MS10S3016	6508.552	85.925	10.95
MS10S3016-006	C1	MS10S3016	6346.049	82.418	13.889
MS10S3016-011	C1	MS10S3016	6807.876	90.218	5.085
MS10S3017-001	C1	MS10S3017	6188.982	84.326	12.199
MS10S3017-012	C1	MS10S3017	6039.353	88.83	11.596
MS10S3017-015	C1	MS10S3017	6521.539	81.226	16.35
MS10S3018-007	C1	MS10S3018	6358.994	91.058	11.097
MS10S3019-005	C1	MS10S3019	6399.374	77.194	19.478
MS10S3019-013	C1	MS10S3019	5425.953	90.56	6.598
MS10S3019-014	C1	MS10S3019	5950.273	87.378	9.765
MS10S3021-009	C1	MS10S3021	6125.351	83.616	16.682
MS10S3021-013	C1	MS10S3021	6656.171	85.922	13.419
MS10S3022-019	C1	MS10S3022	6323.021	89.367	13.694
MS10S3022-020	C1	MS10S3022	6105.38	92.431	10.347
MS10S3024-001	C1	MS10S3024	5658.804	84.166	13.688
MS10S3025-003	C1	MS10S3025	6135.063	89.907	13.982
MS10S3025-017	C1	MS10S3025	5922.415	87.411	10.872
MS10S3031-012	C1	MS10S3031	6629.322	86.708	13.241
MS10S3031-016	C1	MS10S3031	6688.472	88.761	10.623
MS10S3032-004	C1	MS10S3032	6889.448	84.032	9.874
MS10S3032-006	C1	MS10S3032	6607.226	83.696	10.41
MS10S3032-007	C1	MS10S3032	6525.839	85.605	9.328
MS10S3032-008	C1	MS10S3032	6163.05	86.372	11.476
MS10S3032-010	C1	MS10S3032	6212.561	87.626	12.317
MS10S3032-012	C1	MS10S3032	6132.619	90.81	8.749
MS10S3032-015	C1	MS10S3032	5840.067	87.661	9.932
MS10S3032-016	C1	MS10S3032	5970.346	88.904	9.406
MS10S3032-018	C1	MS10S3032	6448.738	84.063	12.315
MS10S3032-022	C1	MS10S3032	6161.671	85.941	10.209
MS10S3034-002	C1	MS10S3034	6516.075	85.975	16.092
MS10S3034-014	C1	MS10S3034	5772.397	84.93	14.229
MS10S3034-019	C1	MS10S3034	6949.333	78.183	11.622
MS10S3036-024	C1	MS10S3036	6496.573	78.938	14.488
MS10S3039-014	C1	MS10S3039	5936.184	85.039	11.909
MS10S3039-017	C1	MS10S3039	6310.514	85.278	17.349
MS10S3040-020	C1	MS10S3040	6259.071	83.221	12.133
MS10S3041-002	C1	MS10S3041	5919.242	86.476	14.395
MS10S3041-005	C1	MS10S3041	5777.205	85.565	16.302
MS10S3041-007	C1	MS10S3041	6433.075	80.603	21.672
MS10S3041-010	C1	MS10S3041	5526.227	84.565	10.603
MS10S3042-003	C1	MS10S3042	6263.166	86.112	15.754
MS10S3042-010	C1	MS10S3042	6470.851	80.768	13.701
MS10S3042-014	C1	MS10S3042	6269.442	80.01	13.298
MS10S3043-008	C1	MS10S3043	6696.511	91.162	14.109
MS10S3043-013	C1	MS10S3043	6650.268	89.065	16.797
MS10S3043-015	C1	MS10S3043	7029.24	85.189	13.942
MS10S3044-008	C1	MS10S3044	5592.374	85.556	12.438
MS10S3044-013	C1	MS10S3044	6296.077	91.83	21.266
MS10S3044-018	C1	MS10S3044	6068.195	84.841	17.931
MS10S3045-017	C1	MS10S3045	6395.531	89.32	15.386
