Cycle	Parent1	Parent2	NProgeny	NMarkers
C1	6B03-4304	FEG175-57	11	73
C1	6B03-4478	6B05-0922	2	79
C1	6B03-4478	FEG175-57	8	63
C1	6B03-4478	ND25986	4	82
C1	6B04-0290	ND26036	5	99
C1	6B05-0922	ND25728	1	86
C1	FEG141-20	FEG154-47	10	178
C1	FEG141-20	ND24906	12	202
C1	FEG153-58	FEG183-52	13	52
C1	FEG153-58	ND25160	10	94
C1	FEG154-47	FEG175-57	13	32
C1	FEG154-47	FEG183-52	10	41
C1	FEG175-57	ND25986	15	91
C1	FEG175-57	ND26104	12	94
C1	FEG183-52	FEG141-20	10	180
C1	M122	6B03-4304	3	93
C1	M122	FEG154-47	13	32
C1	M122	FEG183-52	18	63
C1	M122	ND25728	14	111
C1	ND20448	ND25160	11	77
C1	ND20448	ND25986	10	60
C1	ND24906	6B03-4304	1	80
C1	ND24906	FEG183-52	12	83
C1	ND24906	ND20448	10	50
C1	ND24906	ND25652	11	46
C1	ND25160	FEG154-47	10	82
C1	ND25160	ND24906	10	74
C1	ND25652	ND25160	11	75
C1	ND25652	ND25986	10	44
C1	ND25986	ND26104	11	74
C1	ND26036	6B05-0922	1	104
C1	ND26036	FEG154-47	10	113
C1	ND26036	ND24906	10	54
C1	ND26104	6B03-4304	3	89
C1	ND26104	6B04-0290	4	88
C1	ND26104	M122	10	105
C1	ND26104	ND24906	11	90
C2	MS10S3007-003	MS10S3004-004	3	66
C2	MS10S3008-003	MS10S3058-024	3	127
C2	MS10S3008-004	MS10S3015-005	1	119
C2	MS10S3008-005	MS10S3014-002	5	114
C2	MS10S3013-013	MS10S3004-004	2	56
C2	MS10S3013-013	MS10S3008-004	1	70
C2	MS10S3013-016	MS10S3018-006	1	87
C2	MS10S3013-023	MS10S3008-003	1	68
C2	MS10S3014-007	MS10S3037-010	8	171
C2	MS10S3014-016	MS10S3041-010	3	120
C2	MS10S3014-020	MS10S3040-004	6	162
C2	MS10S3015-002	MS10S3014-008	4	137
C2	MS10S3016-010	MS10S3019-015	9	117
C2	MS10S3016-010	MS10S3036-002	3	99
C2	MS10S3018-001	MS10S3021-013	5	113
C2	MS10S3018-002	MS10S3014-013	3	148
C2	MS10S3018-006	MS10S3015-004	2	135
C2	MS10S3018-006	MS10S3055-014	12	133
C2	MS10S3018-015	MS10S3013-016	1	120
C2	MS10S3018-015	MS10S3049-009	3	108
C2	MS10S3021-009	MS10S3014-008	2	124
C2	MS10S3021-009	MS10S3055-013	2	112
C2	MS10S3021-012	MS10S3063-013	5	105
C2	MS10S3021-013	MS10S3055-013	2	120
C2	MS10S3021-013	MS10S3058-024	2	127
C2	MS10S3024-005	MS10S3013-016	3	132
C2	MS10S3024-005	MS10S3041-010	1	119
C2	MS10S3024-007	MS10S3021-009	5	94
C2	MS10S3032-004	MS10S3014-021	3	105
C2	MS10S3032-016	MS10S3004-004	5	58
C2	MS10S3032-016	MS10S3019-015	9	99
C2	MS10S3034-016	MS10S3001-019	2	80
C2	MS10S3034-018	MS10S3029-013	8	101
C2	MS10S3034-018	MS10S3045-010	4	157
C2	MS10S3034-019	MS10S3031-013	3	76
C2	MS10S3037-010	MS10S3014-007	2	174
C2	MS10S3037-010	MS10S3045-010	10	108
C2	MS10S3040-004	MS10S3001-019	2	147
C2	MS10S3041-010	MS10S3012-012	1	114
C2	MS10S3045-010	MS10S3056-008	2	120
C2	MS10S3046-019	MS10S3055-008	2	119
C2	MS10S3048-002	MS10S3055-008	3	106
C2	MS10S3049-003	MS10S3015-002	2	124
C2	MS10S3049-009	MS10S3048-002	3	124
C2	MS10S3050-024	MS10S3049-003	4	116
C2	MS10S3053-015	MS10S3019-015	5	155
C2	MS10S3053-015	MS10S3040-004	4	100
C2	MS10S3053-016	MS10S3050-024	5	127
C2	MS10S3055-006	MS10S3012-012	3	132
C2	MS10S3055-006	MS10S3018-006	11	135
C2	MS10S3055-010	MS10S3032-010	3	129
C2	MS10S3063-013	MS10S3008-003	3	112
C2	MS10S3063-013	MS10S3014-016	5	118
C2	MS10S3063-013	MS10S3036-002	4	113
C3	MS11S2007-012	MS11S2021-024	1	117
C3	MS11S2007-012	MS11S2080-010	1	131
C3	MS11S2007-023	MS11S2064-004	1	176
C3	MS11S2016-001	MS11S2064-005	4	167
C3	MS11S2016-014	MS11S2024-019	2	114
C3	MS11S2016-021	MS11S2080-015	1	147
C3	MS11S2020-020	MS11S2058-022	3	132
C3	MS11S2021-003	MS11S2053-015	1	220
C3	MS11S2024-006	MS11S2029-014	1	212
C3	MS11S2026-006	MS11S2075-019	1	243
C3	MS11S2029-011	MS11S2052-012	2	230
C3	MS11S2029-012	MS11S2076-022	2	166
C3	MS11S2029-014	MS11S2082-001	4	125
C3	MS11S2029-019	MS11S2014-023	1	115
C3	MS11S2029-019	MS11S2069-019	1	156
C3	MS11S2029-024	MS11S2028-017	2	142
C3	MS11S2033-024	MS11S2058-021	1	132
C3	MS11S2040-020	MS11S2016-016	2	143
C3	MS11S2052-008	MS11S2091-015	7	134
C3	MS11S2052-019	MS11S2007-023	1	109
C3	MS11S2052-024	MS11S2064-009	1	156
C3	MS11S2052-024	MS11S2079-018	3	134
C3	MS11S2058-004	MS11S2021-008	2	155
C3	MS11S2058-012	MS11S2016-021	7	108
C3	MS11S2058-014	MS11S2024-013	1	140
C3	MS11S2058-014	MS11S2080-019	4	152
C3	MS11S2070-017	MS11S2057-016	3	122
C3	MS11S2070-018	MS11S2040-020	2	110
C3	MS11S2076-002	MS11S2025-021	12	137
C3	MS11S2076-021	MS11S2058-019	4	163
C3	MS11S2077-013	MS11S2090-020	1	145
C3	MS11S2079-018	MS11S2064-016	3	139
C3	MS11S2080-004	MS11S2063-020	1	167
C3	MS11S2080-010	MS11S2026-020	1	127
C3	MS11S2080-017	MS11S2030-006	2	128
C3	MS11S2082-001	MS11S2058-021	2	136
C3	MS11S2082-014	MS11S2007-008	5	135
C3	MS11S2082-014	MS11S2052-009	2	138
C3	MS11S2090-011	MS11S2053-023	1	99
C3	MS11S2091-015	MS11S2029-011	1	154
