FamilyID,MaternalID,PaternalID
MS10S3001,M122,M140
MS10S3002,M135,M138
MS10S3003,M135,M140
MS10S3004,M138,M141
MS10S3005,M138,FEG183-52
MS10S3007,M139,FEG183-52
MS10S3008,M140,M141
MS10S3009,M140,FEG183-52
MS10S3012,FEG183-52,M135
MS10S3013,M122,FEG183-52
MS10S3014,M122,ND25728
MS10S3015,M135,ND24906
MS10S3016,M138,ND25728
MS10S3017,M139,ND25160
MS10S3018,M141,ND25986
MS10S3019,M141,ND26104
MS10S3021,ND24906,FEG183-52
MS10S3022,ND25160,M140
MS10S3024,ND26036,M140
MS10S3025,ND26104,M122
MS10S3026,M138,6B04-0290
MS10S3027,M139,6B05-0922
MS10S3029,FEG183-52,6B01-2218
MS10S3030,6B01-2218,M139
MS10S3031,6B03-4304,M138
MS10S3032,6B03-4304,M141
MS10S3033,6B03-4478,M135
MS10S3034,6B03-4478,M141
MS10S3035,6B06-1132,FEG183-52
MS10S3036,M122,6B03-4304
MS10S3037,ND20448,ND25160
MS10S3038,ND20448,ND25986
MS10S3039,ND24906,ND20448
MS10S3040,ND24906,ND25652
MS10S3041,ND25160,ND24906
MS10S3042,ND25652,ND25160
MS10S3043,ND25652,ND25986
MS10S3044,ND25986,ND26104
MS10S3045,ND26036,ND24906
MS10S3046,ND26104,ND24906
MS10S3047,ND24906,6B04-0290
MS10S3048,ND24906,6B03-4304
MS10S3049,ND25728,6B01-2218
MS10S3050,ND26036,6B05-0922
MS10S3051,ND26104,6B03-4304
MS10S3052,ND26104,6B04-0290
MS10S3053,6B03-4478,ND25986
MS10S3054,6B04-0290,ND25652
MS10S3055,6B04-0290,ND26036
MS10S3056,6B05-0922,ND25728
MS10S3057,6B01-2218,6B03-4478
MS10S3058,6B01-2218,6B04-0290
MS10S3059,6B01-2218,6B06-1132
MS10S3060,6B03-4304,6B04-0290
MS10S3061,6B03-4478,6B03-4304
MS10S3062,6B03-4478,6B04-0290
MS10S3063,6B03-4478,6B05-0922
MS10S3065,6B05-0922,6B03-4304
MS10S3066,6B05-0922,6B04-0290
MS11S2004,MS10S3007-003,MS10S3004-004
MS11S2005,MS10S3008-003,MS10S3058-024
MS11S2006,MS10S3008-004,MS10S3015-005
MS11S2007,MS10S3008-005,MS10S3014-002
MS11S2011,MS10S3013-013,MS10S3008-004
MS11S2013,MS10S3013-013,MS10S3004-004
MS11S2014,MS10S3013-016,MS10S3018-006
MS11S2015,MS10S3013-023,MS10S3008-003
MS11S2016,MS10S3014-007,MS10S3037-010
MS11S2020,MS10S3014-016,MS10S3041-010
MS11S2021,MS10S3014-020,MS10S3040-004
MS11S2022,MS10S3015-002,MS10S3014-008
MS11S2024,MS10S3016-010,MS10S3019-015
MS11S2025,MS10S3016-010,MS10S3036-002
MS11S2026,MS10S3018-001,MS10S3021-013
MS11S2027,MS10S3018-002,MS10S3014-013
MS11S2028,MS10S3018-006,MS10S3015-004
MS11S2029,MS10S3018-006,MS10S3055-014
MS11S2030,MS10S3018-015,MS10S3049-009
MS11S2031,MS10S3018-015,MS10S3013-016
MS11S2033,MS10S3021-009,MS10S3014-008
MS11S2034,MS10S3021-009,MS10S3055-013
MS11S2036,MS10S3021-012,MS10S3063-013
MS11S2037,MS10S3021-013,MS10S3055-013
MS11S2038,MS10S3021-013,MS10S3058-024
MS11S2040,MS10S3024-005,MS10S3041-010
MS11S2041,MS10S3024-005,MS10S3013-016
MS11S2042,MS10S3024-007,MS10S3021-009
MS11S2048,MS10S3032-004,MS10S3014-021
MS11S2052,MS10S3032-016,MS10S3019-015
MS11S2053,MS10S3032-016,MS10S3004-004
MS11S2056,MS10S3034-016,MS10S3001-019
MS11S2057,MS10S3034-018,MS10S3045-010
MS11S2058,MS10S3034-018,MS10S3029-013
MS11S2059,MS10S3034-019,MS10S3031-013
MS11S2063,MS10S3037-010,MS10S3014-007
MS11S2064,MS10S3037-010,MS10S3045-010
MS11S2065,MS10S3040-004,MS10S3001-019
MS11S2067,MS10S3041-010,MS10S3012-012
MS11S2068,MS10S3045-010,MS10S3056-008
MS11S2069,MS10S3046-019,MS10S3055-008
MS11S2070,MS10S3048-002,MS10S3055-008
MS11S2072,MS10S3049-003,MS10S3015-002
MS11S2073,MS10S3049-009,MS10S3048-002
MS11S2075,MS10S3050-024,MS10S3049-003
MS11S2076,MS10S3053-015,MS10S3019-015
MS11S2077,MS10S3053-015,MS10S3040-004
MS11S2078,MS10S3053-016,MS10S3050-024
MS11S2079,MS10S3055-006,MS10S3012-012
MS11S2080,MS10S3055-006,MS10S3018-006
MS11S2082,MS10S3055-010,MS10S3032-010
MS11S2090,MS10S3063-013,MS10S3014-016
MS11S2091,MS10S3063-013,MS10S3036-002
MS11S2092,MS10S3063-013,MS10S3008-003
MS12_2103,MS11S2007-012,MS11S2080-010
MS12_2104,MS11S2007-012,MS11S2021-024
MS12_2105,MS11S2007-023,MS11S2064-004
MS12_2107,MS11S2016-001,MS11S2064-005
MS12_2108,MS11S2016-014,MS11S2024-019
MS12_2112,MS11S2016-021,MS11S2080-015
MS12_2113,MS11S2020-020,MS11S2058-022
MS12_2115,MS11S2021-003,MS11S2053-015
MS12_2117,MS11S2024-006,MS11S2029-014
MS12_2123,MS11S2026-006,MS11S2075-019
MS12_2125,MS11S2029-011,MS11S2052-012
MS12_2126,MS11S2029-012,MS11S2076-022
MS12_2128,MS11S2029-014,MS11S2082-001
MS12_2131,MS11S2029-019,MS11S2014-023
MS12_2132,MS11S2029-019,MS11S2069-019
MS12_2134,MS11S2029-024,MS11S2028-017
MS12_2135,MS11S2033-024,MS11S2058-021
MS12_2138,MS11S2040-020,MS11S2016-016
MS12_2139,MS11S2052-008,MS11S2091-015
MS12_2143,MS11S2052-019,MS11S2007-023
MS12_2144,MS11S2052-024,MS11S2064-009
MS12_2145,MS11S2052-024,MS11S2079-018
MS12_2148,MS11S2058-004,MS11S2021-008
MS12_2149,MS11S2058-012,MS11S2016-021
MS12_2150,MS11S2058-014,MS11S2024-013
MS12_2151,MS11S2058-014,MS11S2080-019
MS12_2158,MS11S2070-017,MS11S2057-016
MS12_2159,MS11S2070-018,MS11S2040-020
