line,cycle,type,cat,dataset,prog,yld_kg,DON,height
MS10S3001-002,C1,ran,C1_ran,breed_TP,NA,5096.217473,13.66005173,87.22639771
MS10S3001-007,C1,ran,C1_ran,breed_TP,NA,5756.544012,12.38361925,89.09801853
MS10S3002-014,C1,ran,C1_ran,breed_TP,NA,5113.803635,13.96250875,86.32175036
MS10S3002-015,C1,ran,C1_ran,breed_TP,NA,5074.227161,10.35955626,83.92976225
MS10S3002-021,C1,ran,C1_ran,breed_TP,NA,5330.827601,13.41106617,87.66962934
MS10S3002-024,C1,ran,C1_ran,breed_TP,NA,4709.154277,10.82622862,85.301987
MS10S3003-002,C1,ran,C1_ran,breed_TP,NA,5344.884742,14.96440255,88.00793135
MS10S3004-006,C1,ran,C1_ran,breed_TP,NA,5457.251366,13.50803278,82.01480106
MS10S3004-018,C1,ran,C1_ran,breed_TP,NA,4795.395031,8.680836336,84.94900544
MS10S3005-014,C1,ran,C1_ran,breed_TP,NA,5759.432166,13.07499495,83.2919411
MS10S3005-015,C1,ran,C1_ran,breed_TP,NA,5386.893819,13.50032387,88.88232316
MS10S3008-004,C1,ran,C1_ran,breed_TP,NA,4718.517827,12.05708907,79.12620981
MS10S3008-005,C1,ran,C1_ran,breed_TP,NA,5114.420318,11.86381756,83.7845478
MS10S3008-007,C1,ran,C1_ran,breed_TP,NA,5029.234962,16.15787063,82.69675072
MS10S3008-009,C1,ran,C1_ran,breed_TP,NA,5283.319153,12.20186629,85.99737664
MS10S3008-010,C1,ran,C1_ran,breed_TP,NA,5425.00893,14.70084598,85.88902043
MS10S3008-011,C1,ran,C1_ran,breed_TP,NA,4737.929166,12.0699772,89.03822671
MS10S3008-012,C1,ran,C1_ran,breed_TP,NA,5576.726204,15.56066701,86.76260656
MS10S3008-014,C1,ran,C1_ran,breed_TP,NA,5302.872702,11.55389643,84.17470322
MS10S3009-022,C1,ran,C1_ran,breed_TP,NA,5958.075825,13.71137174,84.68818048
MS10S3012-020,C1,ran,C1_ran,breed_TP,NA,5477.581738,12.33489205,81.90976777
MS10S3013-020,C1,ran,C1_ran,breed_TP,NA,5030.346952,10.84238505,80.62144695
MS10S3014-019,C1,ran,C1_ran,breed_TP,NA,5216.678394,9.130577028,82.58119574
MS10S3015-007,C1,ran,C1_ran,breed_TP,NA,4684.914562,8.565528123,83.73385639
MS10S3016-003,C1,ran,C1_ran,breed_TP,NA,5069.586821,10.77588693,80.07611037
MS10S3016-004,C1,ran,C1_ran,breed_TP,NA,5645.274857,14.34557718,88.4412076
MS10S3016-006,C1,ran,C1_ran,breed_TP,NA,5677.894172,13.49856258,83.03968736
MS10S3016-011,C1,ran,C1_ran,breed_TP,NA,4810.785093,14.08793538,90.84893658
MS10S3017-001,C1,ran,C1_ran,breed_TP,NA,4966.331789,12.18296661,84.86256701
MS10S3017-012,C1,ran,C1_ran,breed_TP,NA,4861.563721,11.25348474,89.7016629
MS10S3017-015,C1,ran,C1_ran,breed_TP,NA,5713.824102,9.590126809,79.14656352
MS10S3018-007,C1,ran,C1_ran,breed_TP,NA,4975.849533,13.04254077,90.59948949
MS10S3018-016,C1,ran,C1_ran,breed_TP,NA,5534.826257,9.222326047,90.82543537
MS10S3018-020,C1,ran,C1_ran,breed_TP,NA,5303.401427,10.97022789,79.86740539
MS10S3019-004,C1,ran,C1_ran,breed_TP,NA,4843.363768,14.43986102,92.93900742
MS10S3019-005,C1,ran,C1_ran,breed_TP,NA,4842.523716,16.26237607,74.06066922
MS10S3019-013,C1,ran,C1_ran,breed_TP,NA,5063.16598,8.212456749,94.79435762
MS10S3019-017,C1,ran,C1_ran,breed_TP,NA,5056.49036,10.02181904,89.40645962
MS10S3021-003,C1,ran,C1_ran,breed_TP,NA,4987.892258,8.784454107,89.21405951
MS10S3021-013,C1,ran,C1_ran,breed_TP,NA,5324.257563,14.5713536,81.61709384
MS10S3021-019,C1,ran,C1_ran,breed_TP,NA,4826.101455,10.74013797,82.36320941
MS10S3022-019,C1,ran,C1_ran,breed_TP,NA,5295.919739,14.2566934,89.04141624
MS10S3022-020,C1,ran,C1_ran,breed_TP,NA,4497.189935,10.98320459,92.66394454
MS10S3024-001,C1,ran,C1_ran,breed_TP,NA,4082.679104,17.72348696,85.87655026
MS10S3024-004,C1,ran,C1_ran,breed_TP,NA,5636.203166,17.86913623,83.453672
MS10S3024-007,C1,ran,C1_ran,breed_TP,NA,5393.627764,14.63354772,84.31625341
MS10S3025-003,C1,ran,C1_ran,breed_TP,NA,5304.498756,12.63414298,90.76047874
MS10S3025-017,C1,ran,C1_ran,breed_TP,NA,5965.648676,10.9558085,93.00722992
MS10S3039-002,C1,ran,C1_ran,breed_TP,NA,4906.269486,10.23163021,83.30882302
MS10S3039-014,C1,ran,C1_ran,breed_TP,NA,5398.034778,13.32559775,84.65809559
MS10S3039-017,C1,ran,C1_ran,breed_TP,NA,5649.647469,12.71985524,79.52701005
MS10S3040-008,C1,ran,C1_ran,breed_TP,NA,5048.172857,13.92935712,80.66552723
MS10S3040-010,C1,ran,C1_ran,breed_TP,NA,5350.410089,14.93467195,88.80444157
MS10S3040-020,C1,ran,C1_ran,breed_TP,NA,4948.305405,15.75955051,79.56461319
MS10S3041-002,C1,ran,C1_ran,breed_TP,NA,5019.132309,8.643984691,85.43604019
MS10S3041-005,C1,ran,C1_ran,breed_TP,NA,5317.254493,12.16626962,88.31103458
MS10S3041-007,C1,ran,C1_ran,breed_TP,NA,5133.337505,16.58827588,79.59743811
MS10S3041-010,C1,ran,C1_ran,breed_TP,NA,5161.522145,9.930760742,84.07827252
MS10S3042-010,C1,ran,C1_ran,breed_TP,NA,6110.506571,9.354325578,80.99402062
MS10S3042-014,C1,ran,C1_ran,breed_TP,NA,5861.412822,9.523547053,74.28485407
MS10S3043-001,C1,ran,C1_ran,breed_TP,NA,5915.819464,15.33285395,86.115883
MS10S3043-008,C1,ran,C1_ran,breed_TP,NA,5624.532922,16.96676127,91.3872355
MS10S3043-013,C1,ran,C1_ran,breed_TP,NA,4890.170682,14.37962594,87.33743839
MS10S3043-015,C1,ran,C1_ran,breed_TP,NA,5397.337811,15.73056727,86.5986691
MS10S3044-005,C1,ran,C1_ran,breed_TP,NA,6294.358936,15.52811688,86.28266066
MS10S3044-013,C1,ran,C1_ran,breed_TP,NA,5781.642545,21.71772011,95.95289102
MS10S3044-018,C1,ran,C1_ran,breed_TP,NA,5816.666236,16.08208273,82.47901264
MS10S3045-010,C1,ran,C1_ran,breed_TP,NA,4551.395989,11.78102395,85.31960403
MS10S3045-017,C1,ran,C1_ran,breed_TP,NA,5882.34076,9.990629976,90.13431392
MS10S3046-016,C1,ran,C1_ran,breed_TP,NA,5544.159256,13.70967005,90.83018986
MS10S3046-019,C1,ran,C1_ran,breed_TP,NA,4875.477154,9.017722831,80.74047809
MS10S3001-003,C1,sel,C1_sel,breed_TP,NA,4650.474276,8.45,83.21270934
MS10S3001-013,C1,sel,C1_sel,breed_TP,NA,4873.77141,9.4,79.82400395
MS10S3001-016,C1,sel,C1_sel,breed_TP,NA,5155.183923,13.7,80.5416528
MS10S3001-017,C1,sel,C1_sel,breed_TP,NA,4997.384183,12.4,79.50958136
MS10S3002-012,C1,sel,C1_sel,breed_TP,NA,4648.680823,6.45,81.09494924
MS10S3004-001,C1,sel,C1_sel,breed_TP,NA,4623.035076,9.25,79.7377284
MS10S3004-002,C1,sel,C1_sel,breed_TP,NA,4848.827844,8.15,81.41356605
MS10S3004-013,C1,sel,C1_sel,breed_TP,NA,4593.739359,12.3,79.83871011
MS10S3004-016,C1,sel,C1_sel,breed_TP,NA,4891.941113,7.9,79.2579249
MS10S3005-005,C1,sel,C1_sel,breed_TP,NA,4861.361413,6.85,82.10860001
MS10S3005-006,C1,sel,C1_sel,breed_TP,NA,5157.248338,7.55,79.97532965
MS10S3007-005,C1,sel,C1_sel,breed_TP,NA,4876.563334,11.7,79.97373555
MS10S3007-014,C1,sel,C1_sel,breed_TP,NA,4735.181107,11.5,78.52249373
MS10S3007-024,C1,sel,C1_sel,breed_TP,NA,4250.273171,10.4,79.31264309
MS10S3008-001,C1,sel,C1_sel,breed_TP,NA,4674.356854,10.19,75.96163784
MS10S3008-002,C1,sel,C1_sel,breed_TP,NA,4818.206085,8.75,86.18985689
MS10S3008-003,C1,sel,C1_sel,breed_TP,NA,4508.513441,11.3,83.99577234
MS10S3013-001,C1,sel,C1_sel,breed_TP,NA,4907.342453,8.55,77.4443494
MS10S3013-004,C1,sel,C1_sel,breed_TP,NA,4821.706402,9.95,76.24629277
MS10S3013-006,C1,sel,C1_sel,breed_TP,NA,5395.041608,9.4,79.48003258
MS10S3013-007,C1,sel,C1_sel,breed_TP,NA,4574.899332,7.6,84.85355093
MS10S3013-009,C1,sel,C1_sel,breed_TP,NA,5318.322936,6.65,82.52577625
MS10S3013-019,C1,sel,C1_sel,breed_TP,NA,4997.138294,8.25,79.43025816
MS10S3013-021,C1,sel,C1_sel,breed_TP,NA,4741.278737,7.53,85.82018718
MS10S3013-023,C1,sel,C1_sel,breed_TP,NA,4782.734523,15.7,83.03205423
MS10S3014-007,C1,sel,C1_sel,breed_TP,NA,5244.573991,10.345,82.6831391
MS10S3014-014,C1,sel,C1_sel,breed_TP,NA,5201.796494,11.2,82.94549301
MS10S3015-002,C1,sel,C1_sel,breed_TP,NA,4243.633612,12.6,78.7276329
MS10S3015-004,C1,sel,C1_sel,breed_TP,NA,3961.710118,11.25,78.27424598
MS10S3018-010,C1,sel,C1_sel,breed_TP,NA,4753.810781,12.15,81.05371693
MS10S3018-015,C1,sel,C1_sel,breed_TP,NA,4142.007646,8.525,89.42831794
MS10S3019-014,C1,sel,C1_sel,breed_TP,NA,4840.026298,7.75,82.62482013
MS10S3019-023,C1,sel,C1_sel,breed_TP,NA,4222.807334,12.45,91.14256266
MS10S3021-009,C1,sel,C1_sel,breed_TP,NA,4628.627798,10.8,76.34886134
MS10S3031-012,C1,sel,C1_sel,breed_TP,NA,5295.916229,12.65,79.36355065
MS10S3031-015,C1,sel,C1_sel,breed_TP,NA,5273.410182,13.65,76.71139107
MS10S3031-016,C1,sel,C1_sel,breed_TP,NA,4571.4254,12.95,80.86240696
MS10S3032-004,C1,sel,C1_sel,breed_TP,NA,4570.630776,8.8,80.57135617
MS10S3032-006,C1,sel,C1_sel,breed_TP,NA,5648.131453,7.715,78.9267396
MS10S3032-007,C1,sel,C1_sel,breed_TP,NA,4845.299337,9.25,80.60614736
MS10S3032-008,C1,sel,C1_sel,breed_TP,NA,4929.337161,10.2,81.73726237
MS10S3032-010,C1,sel,C1_sel,breed_TP,NA,4437.61913,10.55,78.31069795
MS10S3032-012,C1,sel,C1_sel,breed_TP,NA,4508.633669,11.75,84.3603358
MS10S3032-014,C1,sel,C1_sel,breed_TP,NA,4678.366926,8.485,78.28907015
MS10S3032-015,C1,sel,C1_sel,breed_TP,NA,4502.379926,7.665,82.67505769
MS10S3032-016,C1,sel,C1_sel,breed_TP,NA,4506.042756,8.55,83.22714613
MS10S3032-018,C1,sel,C1_sel,breed_TP,NA,4604.165846,9.15,78.77886548
MS10S3032-022,C1,sel,C1_sel,breed_TP,NA,4530.855081,6.185,78.35097768
MS10S3034-002,C1,sel,C1_sel,breed_TP,NA,4663.418142,10.545,81.74876521
MS10S3034-004,C1,sel,C1_sel,breed_TP,NA,4659.501172,10,81.08081764
MS10S3034-014,C1,sel,C1_sel,breed_TP,NA,4682.132137,7.8,83.73426931
MS10S3034-015,C1,sel,C1_sel,breed_TP,NA,4991.915943,9.35,78.62036306
MS10S3034-019,C1,sel,C1_sel,breed_TP,NA,5077.089331,10.755,75.00949874
MS10S3034-024,C1,sel,C1_sel,breed_TP,NA,5060.335665,12.75,77.75421219
MS10S3036-009,C1,sel,C1_sel,breed_TP,NA,5273.43413,28.25,80.49547897
MS10S3036-024,C1,sel,C1_sel,breed_TP,NA,5168.471305,14.75,75.48314937
MS10S3042-003,C1,sel,C1_sel,breed_TP,NA,5099.669927,10.55,82.04820953
MS10S3044-008,C1,sel,C1_sel,breed_TP,NA,4672.747002,15.55,80.06529356
MS10S3046-004,C1,sel,C1_sel,breed_TP,NA,3869.959257,12.5,79.31143162
MS10S3048-002,C1,sel,C1_sel,breed_TP,NA,4916.283835,16.2,79.29094546
MS10S3050-024,C1,sel,C1_sel,breed_TP,NA,4850.867505,16.6,78.64895211
MS10S3051-012,C1,sel,C1_sel,breed_TP,NA,5469.237265,14.3,87.67570729
MS10S3051-023,C1,sel,C1_sel,breed_TP,NA,4930.862159,11.15,71.48573132
MS10S3051-024,C1,sel,C1_sel,breed_TP,NA,5171.585255,17.65,72.13320266
MS10S3052-009,C1,sel,C1_sel,breed_TP,NA,5409.28528,11.81,76.74140248
MS10S3052-014,C1,sel,C1_sel,breed_TP,NA,5360.254423,11.7,79.77196729
MS10S3052-020,C1,sel,C1_sel,breed_TP,NA,5198.026093,7.9,80.07965557
MS10S3052-022,C1,sel,C1_sel,breed_TP,NA,5107.082126,19.65,81.30767485
MS10S3053-010,C1,sel,C1_sel,breed_TP,NA,5282.518002,20.65,85.45781042
MS10S3055-001,C1,sel,C1_sel,breed_TP,NA,5009.095602,13.2,74.32052169
MS10S3055-010,C1,sel,C1_sel,breed_TP,NA,4507.033837,10.55,78.2943071
MS10S3063-002,C1,sel,C1_sel,breed_TP,NA,5367.896263,10.925,83.38454235
MS11S2007-008,C2,sel,C2_sel,breed_TP,NA,5057.986082,1.051210152,74.87012852
MS11S2029-015,C2,sel,C2_sel,breed_TP,NA,5052.70362,7.177945829,72.71288067
MS11S2064-004,C2,sel,C2_sel,breed_TP,NA,5143.667915,13.40577095,63.87240448
MS11S2004-001,C2,ran,C2_ran,breed_TP,NA,5230.879198,7.597700608,63.17850439
MS11S2004-003,C2,ran,C2_ran,breed_TP,NA,5297.972444,7.933821818,65.42966404
MS11S2004-006,C2,ran,C2_ran,breed_TP,NA,5577.017187,9.976204874,65.99920368
MS11S2005-006,C2,ran,C2_ran,breed_TP,NA,4642.319291,11.57033333,67.42899287
MS11S2005-015,C2,ran,C2_ran,breed_TP,NA,5427.490118,7.709912699,65.01879733
MS11S2005-020,C2,ran,C2_ran,breed_TP,NA,5620.930163,26.51054716,66.99051355
MS11S2006-004,C2,ran,C2_ran,breed_TP,NA,5349.118694,6.296030512,65.13009517
MS11S2007-002,C2,ran,C2_ran,breed_TP,NA,5567.649182,5.006113265,76.26477923
MS11S2007-018,C2,ran,C2_ran,breed_TP,NA,5637.800399,6.720745202,75.19884043
MS11S2011-008,C2,ran,C2_ran,breed_TP,NA,5798.343385,5.903086365,67.20100294
MS11S2013-007,C2,ran,C2_ran,breed_TP,NA,5070.196856,6.83295904,64.55860971
MS11S2013-021,C2,ran,C2_ran,breed_TP,NA,5758.760014,8.470478309,68.67763216
MS11S2015-019,C2,ran,C2_ran,breed_TP,NA,5219.397036,5.863321551,69.90717328
MS11S2016-008,C2,ran,C2_ran,breed_TP,NA,5235.80361,11.70543053,64.41575283
MS11S2016-011,C2,ran,C2_ran,breed_TP,NA,4693.165297,8.462296307,71.37101271
