Line,Cycle,Type,NC,SY,NS,DE
6B03-4304,C0,NA,63277,17717,14114,188
6B03-4478,C0,NA,63800,17691,14095,202
6B04-0290,C0,NA,63278,17591,13966,172
6B05-0922,C0,NA,63587,17532,13915,241
6B06-1132,C0,NA,63568,17776,14133,208
FEG141-20,C0,NA,63868,17551,13864,226
FEG153-58,C0,NA,63009,17263,13487,223
FEG154-47,C0,NA,63652,17620,13837,217
FEG175-57,C0,NA,62137,17392,13617,206
M122,C0,NA,59288,16306,12769,187
MS10S3001-019,C1,Ran,53190,14616,11773,149
MS10S3002-005,C1,Ran,58790,16179,12822,182
MS10S3002-006,C1,Ran,60063,16477,13145,194
MS10S3002-008,C1,Ran,57850,16031,12734,165
MS10S3002-010,C1,Ran,57295,15673,12362,174
MS10S3002-012,C1,Sel,59275,16307,12900,183
MS10S3002-014,C1,Ran,58744,16158,12718,182
MS10S3002-015,C1,Ran,58204,15881,12603,187
MS10S3002-017,C1,Ran,59926,16359,12849,194
MS10S3002-018,C1,Ran,62892,17186,13584,216
MS10S3002-020,C1,Ran,59217,16221,12819,192
MS10S3002-021,C1,Ran,58691,16242,12851,168
MS10S3002-024,C1,Ran,61885,17036,13474,203
MS10S3003-002,C1,Ran,60523,16506,13011,196
MS10S3003-003,C1,Ran,60977,16649,13159,186
MS10S3003-004,C1,Ran,60954,16688,13256,213
MS10S3003-007,C1,Ran,61118,16555,13078,201
MS10S3003-009,C1,Ran,61479,16847,13411,198
MS10S3003-010,C1,Ran,61258,16708,13292,216
MS10S3003-011,C1,Ran,61687,16755,13267,212
MS10S3003-012,C1,Ran,61562,16827,13284,193
MS10S3003-013,C1,Ran,60707,16668,13243,199
MS10S3003-017,C1,Ran,61993,16878,13267,206
MS10S3004-001,C1,Sel,60672,16664,13161,206
MS10S3004-002,C1,Sel,62325,17212,13597,207
MS10S3004-003,C1,Ran,60418,16607,13254,208
MS10S3004-006,C1,Ran,60880,16838,13380,202
MS10S3004-008,C1,Ran,61107,16883,13374,203
MS10S3004-011,C1,Ran,58828,16306,12869,186
MS10S3004-013,C1,Sel,61463,17040,13500,218
MS10S3004-014,C1,Ran,62834,17435,13950,224
MS10S3004-016,C1,Sel,60309,16698,13217,214
MS10S3004-017,C1,Ran,64358,17632,14027,228
MS10S3004-018,C1,Ran,62239,17018,13466,233
MS10S3004-019,C1,Ran,61302,16955,13416,211
MS10S3004-020,C1,Ran,59683,16494,13064,204
MS10S3004-024,C1,Ran,60528,16763,13308,210
MS10S3005-003,C1,Ran,59750,16560,13151,181
MS10S3005-005,C1,Sel,60797,16870,13356,202
MS10S3005-006,C1,Sel,62640,17300,13676,210
MS10S3005-007,C1,Ran,61413,16962,13377,210
MS10S3005-011,C1,Ran,61541,17049,13487,207
MS10S3005-012,C1,Ran,60918,16931,13444,195
MS10S3005-014,C1,Ran,62060,17092,13478,214
MS10S3005-015,C1,Ran,59979,16539,13109,194
MS10S3005-016,C1,Ran,61507,16976,13400,211
MS10S3005-019,C1,Ran,60451,16705,13208,193
MS10S3005-020,C1,Ran,59235,16528,12984,189
MS10S3005-022,C1,Ran,61994,17142,13542,212
MS10S3007-001,C1,Ran,64823,17900,14022,231
MS10S3007-002,C1,Ran,61731,17025,13436,208
MS10S3007-003,C1,Ran,65183,17675,13957,261
MS10S3007-004,C1,Ran,64138,17468,13776,231
MS10S3007-005,C1,Sel,63394,17263,13606,210
MS10S3007-011,C1,Ran,64224,17723,13986,246
MS10S3007-012,C1,Ran,64158,17548,13918,241
MS10S3007-013,C1,Ran,63386,17239,13659,227
MS10S3007-014,C1,Sel,63593,17669,13894,217
MS10S3007-016,C1,Ran,65469,17885,14163,261
MS10S3007-019,C1,Ran,62794,17117,13581,238
MS10S3007-024,C1,Sel,64376,17728,14038,247
MS10S3008-001,C1,Sel,63865,17511,14019,226
MS10S3008-002,C1,Sel,63734,17345,13839,251
MS10S3008-003,C1,Sel,64382,17622,14112,260
MS10S3008-004,C1,Ran,61676,16934,13509,211
MS10S3008-005,C1,Ran,63604,17408,13902,220
MS10S3008-007,C1,Ran,64538,17574,14112,259
MS10S3008-009,C1,Ran,64213,17693,14048,230
MS10S3008-010,C1,Ran,64403,17511,13977,251
MS10S3008-011,C1,Ran,64377,17464,13947,254
MS10S3008-012,C1,Ran,65288,17692,14232,270
MS10S3008-014,C1,Ran,63398,17444,13827,204
MS10S3008-016,C1,Ran,62442,17083,13592,225
MS10S3008-018,C1,Ran,65147,17743,14232,271
MS10S3009-001,C1,Ran,63140,17491,13756,212
MS10S3009-003,C1,Ran,63458,17569,13762,214
MS10S3009-006,C1,Ran,63733,17653,13792,223
MS10S3009-009,C1,Ran,64144,17816,14067,209
MS10S3009-010,C1,Ran,63722,17563,13898,200
MS10S3009-011,C1,Ran,61762,17079,13483,209
