Observed Predicted
6524.551854 NA
7098.349445 NA
6491.890155 NA
6240.910927 6162.03
6743.86435 NA
6234.219997 5625.19
6180.00842 NA
6104.519858 NA
6524.028478 NA
6961.676891 NA
6649.731143 5723.01
6208.097459 NA
5786.803552 NA
6912.080399 NA
6756.65594 NA
6224.585339 NA
6600.264405 NA
5135.778423 NA
5615.737795 NA
5104.371859 NA
5454.747493 5631.99
6523.439426 5561.22
6396.575995 NA
6098.939569 NA
4961.042941 NA
5720.981703 NA
5277.99186 NA
6717.164202 NA
6640.032293 5437.51
6447.373114 5485.35
6017.618978 5473.18
4662.59637 NA
4981.43516 NA
5110.426727 NA
5372.018789 NA
5247.834297 NA
5659.275962 NA
5631.323987 NA
4856.636112 NA
4623.035076 NA
4848.827844 NA
5171.061067 NA
6577.213063 NA
5432.232111 NA
5162.768108 NA
6433.51826 NA
4882.136076 5846.63
6529.822669 NA
5109.489877 NA
5934.230832 5571.31
5047.7299 NA
5190.942698 NA
5129.065896 NA
5639.107591 NA
6293.912262 5751.41
5157.248338 NA
5250.438888 5682.13
4831.10133 NA
5240.228701 NA
5759.432166 NA
5386.893819 NA
5397.772183 NA
5717.644531 NA
5200.121165 NA
5056.827711 NA
4747.969561 5596.36
5112.434635 NA
5510.962073 NA
5007.902917 NA
5663.620972 NA
5690.244674 NA
5583.320174 NA
5238.906961 NA
4735.181107 5544.14
5802.663876 NA
5008.433261 NA
6194.509098 5552.33
6089.783016 NA
6671.648826 5512.01
6109.938606 5665.05
6366.52302 NA
5952.160777 5814.32
6323.678108 NA
6278.215775 NA
6248.127745 NA
4737.929166 NA
6265.978392 NA
6880.282592 NA
5259.185299 NA
4987.386074 5614.21
5408.238092 5717.03
5638.20929 NA
4956.38448 NA
5416.372752 5723.73
5161.327115 NA
4971.155915 5558.85
6008.971685 NA
5178.585199 NA
5532.153057 5651.09
5958.075825 NA
5401.830191 NA
6122.106357 NA
4888.441015 NA
5988.178526 5581.12
5880.09421 NA
5676.268604 NA
5643.803579 NA
5128.941506 NA
6141.791025 NA
6104.511829 NA
5994.372063 NA
5377.690053 NA
5107.827709 NA
4821.706402 NA
5948.815398 NA
4574.899332 5490.18
6669.235513 NA
5051.172613 NA
4911.814645 NA
5125.739544 NA
4932.433892 NA
6334.609987 NA
6778.304223 NA
4741.278737 5630.96
5721.724627 5774.55
6222.94058 5593.3
5313.881231 NA
4747.187333 NA
4758.441352 NA
5244.573991 NA
4923.540789 5855.43
5156.753778 NA
5472.990721 NA
6627.263763 NA
