ID NSeg NHet
6B01-2218 NA 41
6B03-4304 NA 38
6B03-4478 NA 28
FEG141-20 NA 52
6B04-0290 NA 38
6B05-0922 NA 8
FEG153-58 NA 46
FEG154-47 NA 37
FEG175-57 NA 82
ND25652 NA 42
ND25728 NA 84
6B06-1132 NA 6
FEG183-52 NA 35
ND20448 NA 48
ND24906 NA 47
ND25160 NA 76
ND25986 NA 46
ND26036 NA 50
ND26104 NA 97
MS10S3002-001 134 46
MS10S3002-002 134 27
MS10S3002-003 134 37
MS10S3002-004 134 7
MS10S3002-005 134 50
MS10S3002-006 134 15
MS10S3002-007 134 26
MS10S3002-008 134 7
MS10S3002-009 134 19
MS10S3002-010 134 40
MS10S3002-011 134 31
MS10S3002-012 134 25
MS10S3002-013 134 31
MS10S3002-014 134 41
MS10S3002-015 134 11
MS10S3002-016 134 35
MS10S3002-017 134 38
MS10S3002-018 134 17
MS10S3002-019 134 36
MS10S3002-020 134 19
MS10S3002-021 134 25
MS10S3002-022 134 15
MS10S3002-023 134 20
MS10S3002-024 134 10
MS10S3003-001 105 31
MS10S3003-002 105 32
MS10S3003-003 105 30
MS10S3003-004 105 27
MS10S3003-005 105 9
MS10S3003-006 105 17
MS10S3003-007 105 24
MS10S3003-008 105 26
MS10S3003-009 105 35
MS10S3003-010 105 26
MS10S3003-011 105 29
MS10S3003-012 105 31
MS10S3003-013 105 35
MS10S3003-014 105 6
MS10S3003-015 105 31
MS10S3003-016 105 33
MS10S3003-017 105 30
MS10S3003-018 105 28
MS10S3003-019 105 17
MS10S3003-020 105 23
MS10S3003-021 105 34
MS10S3003-022 105 27
MS10S3003-023 105 20
MS10S3003-024 105 22
MS10S3004-001 130 28
MS10S3004-002 130 16
MS10S3004-003 130 24
MS10S3004-004 130 22
MS10S3004-005 130 23
MS10S3004-006 130 16
MS10S3004-007 130 30
MS10S3004-008 130 16
MS10S3004-009 130 18
MS10S3004-010 130 22
MS10S3004-011 130 17
MS10S3004-012 130 26
MS10S3004-013 130 33
MS10S3004-014 130 16
MS10S3004-015 130 23
MS10S3004-016 130 40
MS10S3004-017 130 14
MS10S3004-018 130 19
MS10S3004-019 130 38
MS10S3004-020 130 33
MS10S3004-021 130 17
MS10S3004-022 130 34
MS10S3004-023 130 29
MS10S3004-024 130 30
MS10S3005-001 130 18
MS10S3005-002 130 21
MS10S3005-003 130 35
MS10S3005-004 130 25
MS10S3005-005 130 21
MS10S3005-006 130 12
MS10S3005-007 130 19
MS10S3005-008 130 23
MS10S3005-009 130 12
MS10S3005-010 130 18
MS10S3005-011 130 14
MS10S3005-012 130 27
MS10S3005-013 130 28
MS10S3005-014 130 19
MS10S3005-015 130 26
MS10S3005-016 130 13
MS10S3005-017 130 17
MS10S3005-018 130 19
MS10S3005-019 130 17
MS10S3005-020 130 39
MS10S3005-021 130 38
MS10S3005-022 130 12
MS10S3005-023 130 18
MS10S3005-024 130 16
MS10S3007-001 116 3
MS10S3007-002 116 39
MS10S3007-003 116 15
MS10S3007-004 116 26
MS10S3007-005 116 24
MS10S3007-006 116 21
MS10S3007-007 116 22
MS10S3007-008 116 12
MS10S3007-009 116 10
MS10S3007-010 116 3
MS10S3007-011 116 14
MS10S3007-012 116 18
MS10S3007-013 116 31
MS10S3007-014 116 25
MS10S3007-015 116 18
MS10S3007-016 116 6
MS10S3007-017 116 13
MS10S3007-018 116 17
MS10S3007-019 116 30
MS10S3007-020 116 22
MS10S3007-021 116 19
MS10S3007-022 116 13
MS10S3007-023 116 20
MS10S3007-024 116 17
MS10S3008-001 102 33
MS10S3008-002 102 29
MS10S3008-003 102 10
MS10S3008-004 102 19
MS10S3008-005 102 10
MS10S3008-006 102 5
MS10S3008-007 102 4
MS10S3008-008 102 4
MS10S3008-009 102 20
MS10S3008-010 102 16
MS10S3008-011 102 14
MS10S3008-012 102 5
MS10S3008-013 102 24
MS10S3008-014 102 9
MS10S3008-015 102 17
MS10S3008-016 102 39
MS10S3008-017 102 21
MS10S3008-018 102 9
MS10S3008-019 102 15
MS10S3008-020 102 18
MS10S3008-021 102 9
MS10S3008-022 102 9
MS10S3008-023 102 15
MS10S3008-024 102 12
MS10S3009-001 94 30
MS10S3009-002 94 9
MS10S3009-003 94 18
MS10S3009-004 94 26
MS10S3009-005 94 21
MS10S3009-006 94 10
MS10S3009-007 94 10
MS10S3009-008 94 32
MS10S3009-009 94 2
MS10S3009-010 94 15
MS10S3009-011 94 19
MS10S3009-012 94 22
MS10S3009-013 94 12
MS10S3009-014 94 28
MS10S3009-015 94 13
MS10S3009-016 94 14
MS10S3009-017 94 24
MS10S3009-018 94 30
MS10S3009-019 94 40
MS10S3009-020 94 18
MS10S3009-021 94 25
MS10S3009-022 94 29
MS10S3009-023 94 30
MS10S3009-024 94 0
MS10S3012-001 109 38
MS10S3012-002 109 22
MS10S3012-003 109 14
MS10S3012-004 109 24
MS10S3012-005 109 30
MS10S3012-006 109 37
MS10S3012-007 109 31
MS10S3012-008 109 8
MS10S3012-009 109 19
MS10S3012-010 109 16
MS10S3012-011 109 21
MS10S3012-012 109 14
MS10S3012-013 109 20
MS10S3012-014 109 15
MS10S3012-015 109 49
MS10S3012-016 109 30
MS10S3012-017 109 33
MS10S3012-018 109 13
MS10S3012-019 109 18
MS10S3012-020 109 43
MS10S3012-021 109 28
MS10S3012-022 109 33
MS10S3012-023 109 13
MS10S3012-024 109 14
MS10S3013-001 180 17
MS10S3013-002 180 31
MS10S3013-003 180 44
MS10S3013-004 180 11
MS10S3013-005 180 32
MS10S3013-006 180 19
MS10S3013-007 180 25
MS10S3013-008 180 32
MS10S3013-009 180 20
MS10S3013-010 180 22
MS10S3013-011 180 25
MS10S3013-012 180 31
MS10S3013-013 180 36
MS10S3013-014 180 29
MS10S3013-015 180 14
MS10S3013-016 180 28
MS10S3013-017 180 29
MS10S3013-018 180 1
MS10S3013-019 180 27
MS10S3013-020 180 16
MS10S3013-021 180 23
MS10S3013-022 180 32
MS10S3013-023 180 23
MS10S3013-024 180 25
MS10S3014-001 223 54
MS10S3014-002 223 50
MS10S3014-003 223 63
MS10S3014-004 223 55
MS10S3014-005 223 47
MS10S3014-006 223 60
MS10S3014-007 223 30
MS10S3014-008 223 34
MS10S3014-009 223 50
MS10S3014-010 223 37
MS10S3014-011 223 45
MS10S3014-012 223 34
MS10S3014-013 223 25
MS10S3014-014 223 51
MS10S3014-015 223 24
MS10S3014-016 223 22
MS10S3014-017 223 46
MS10S3014-018 223 42
MS10S3014-019 223 69
MS10S3014-020 223 37
MS10S3014-021 223 19
MS10S3014-022 223 52
MS10S3014-023 223 17
MS10S3014-024 223 41
MS10S3015-001 174 39
MS10S3015-002 174 26
MS10S3015-003 174 63
MS10S3015-004 174 32
MS10S3015-005 174 40
MS10S3015-006 174 41
MS10S3015-007 174 44
MS10S3015-008 174 36
MS10S3015-009 174 29
MS10S3015-010 174 45
MS10S3015-011 174 35
MS10S3015-012 174 40
MS10S3015-013 174 33
MS10S3015-014 174 43
MS10S3015-015 174 32
MS10S3015-016 174 19
MS10S3015-017 174 29
MS10S3015-018 174 27
MS10S3015-019 174 35
MS10S3015-020 174 64
MS10S3015-021 174 57
MS10S3015-022 174 51
MS10S3015-023 174 16
MS10S3015-024 174 32
MS10S3016-001 200 48
MS10S3016-002 200 36
MS10S3016-003 200 47
MS10S3016-004 200 35
MS10S3016-005 200 38
MS10S3016-006 200 20
MS10S3016-007 200 29
MS10S3016-008 200 31
MS10S3016-009 200 17
MS10S3016-010 200 44
MS10S3016-011 200 44
MS10S3016-012 200 48
MS10S3016-013 200 46
MS10S3016-014 200 38
MS10S3016-015 200 61
MS10S3016-016 200 39
MS10S3016-017 200 33
MS10S3016-018 200 14
MS10S3016-019 200 25
MS10S3016-020 200 76
MS10S3016-021 200 38
MS10S3016-022 200 57
MS10S3016-023 200 34
MS10S3016-024 200 58
MS10S3017-001 180 41
MS10S3017-002 180 65
MS10S3017-003 180 76
MS10S3017-004 180 29
MS10S3017-005 180 46
MS10S3017-006 180 56
MS10S3017-007 180 53
MS10S3017-008 180 45
MS10S3017-009 180 30
MS10S3017-010 180 51
MS10S3017-011 180 45
MS10S3017-012 180 18
MS10S3017-013 180 27
MS10S3017-014 180 39
MS10S3017-015 180 16
MS10S3017-016 180 32
MS10S3017-017 180 21
MS10S3017-018 180 41
MS10S3017-019 180 48
MS10S3017-020 180 30
MS10S3017-021 180 39
MS10S3017-022 180 50
MS10S3017-023 180 67
MS10S3017-024 180 65
MS10S3018-001 214 38
MS10S3018-002 214 12
MS10S3018-003 214 25
MS10S3018-004 214 48
MS10S3018-005 214 43
MS10S3018-006 214 51
MS10S3018-007 214 45
MS10S3018-008 214 33
MS10S3018-009 214 27
MS10S3018-010 214 53
MS10S3018-011 214 41
MS10S3018-012 214 44
MS10S3018-013 214 34
MS10S3018-014 214 31
MS10S3018-015 214 30
MS10S3018-016 214 54
MS10S3018-017 214 60
MS10S3018-018 214 37
MS10S3018-019 214 47
MS10S3018-020 214 40
MS10S3018-021 214 53
MS10S3018-022 214 41
MS10S3018-023 214 17
MS10S3018-024 214 66
MS10S3019-001 221 63
MS10S3019-002 221 48
MS10S3019-003 221 36
MS10S3019-004 221 33
MS10S3019-005 221 72
MS10S3019-006 221 43
MS10S3019-007 221 43
MS10S3019-008 221 39
MS10S3019-009 221 53
MS10S3019-010 221 40
MS10S3019-011 221 40
MS10S3019-012 221 44
MS10S3019-013 221 31
MS10S3019-014 221 41
MS10S3019-015 221 64
MS10S3019-016 221 59
MS10S3019-017 221 41
MS10S3019-018 221 26
MS10S3019-019 221 34
MS10S3019-020 221 33
MS10S3019-021 221 49
MS10S3019-022 221 49
MS10S3019-023 221 48
MS10S3019-024 221 41
MS10S3021-001 168 57
MS10S3021-002 168 32
MS10S3021-003 168 36
MS10S3021-004 168 12
MS10S3021-005 168 28
MS10S3021-006 168 34
MS10S3021-007 168 31
MS10S3021-008 168 32
MS10S3021-009 168 39
MS10S3021-010 168 35
MS10S3021-011 168 51
MS10S3021-012 168 14
MS10S3021-013 168 35
MS10S3021-014 168 55
MS10S3021-015 168 52
MS10S3021-016 168 63
MS10S3021-017 168 45
MS10S3021-018 168 30
MS10S3021-019 168 11
MS10S3021-020 168 49
MS10S3021-021 168 30
MS10S3021-022 168 30
MS10S3021-023 168 54
MS10S3021-024 168 18
MS10S3022-001 173 35
MS10S3022-002 173 28
MS10S3022-003 173 27
MS10S3022-004 173 28
MS10S3022-005 173 18
MS10S3022-006 173 45
MS10S3022-007 173 39
MS10S3022-008 173 33
MS10S3022-009 173 34
MS10S3022-010 173 23
MS10S3022-011 173 51
MS10S3022-012 173 28
MS10S3022-013 173 20
MS10S3022-014 173 39
MS10S3022-015 173 37
MS10S3022-016 173 40
MS10S3022-017 173 8
MS10S3022-018 173 26
MS10S3022-019 173 41
MS10S3022-020 173 24
