chr	starting	ending	codon_nb	del_SNP_nb	delSNP_codonNb
chr1H	0	10000000	99855	6739	0.0674878573932202
chr1H	10000000	20000000	44337	2988	0.0673929223898775
chr1H	20000000	30000000	42891	2369	0.0552330325709356
chr1H	30000000	40000000	30950	2280	0.0736672051696284
chr1H	40000000	50000000	17623	1311	0.0743914203030131
chr1H	50000000	60000000	21841	1241	0.0568197426857745
chr1H	60000000	70000000	13220	738	0.0558245083207262
chr1H	70000000	80000000	22644	1798	0.0794029323441088
chr1H	80000000	90000000	25413	1180	0.0464329280289616
chr1H	90000000	100000000	15094	718	0.0475685702928316
chr1H	100000000	110000000	15929	474	0.0297570468955992
chr1H	110000000	120000000	10551	135	0.0127949957350014
chr1H	120000000	130000000	9436	157	0.0166384061042815
chr1H	130000000	140000000	9194	401	0.0436154013487057
chr1H	140000000	150000000	8445	311	0.0368265245707519
chr1H	150000000	160000000	6838	192	0.0280783854928342
chr1H	160000000	170000000	7595	191	0.0251481237656353
chr1H	170000000	180000000	6274	254	0.0404845393688237
chr1H	180000000	190000000	8185	193	0.0235797189981674
chr1H	190000000	200000000	6265	197	0.0314445331205108
chr1H	200000000	210000000	3686	183	0.0496473141616929
chr1H	210000000	220000000	3471	284	0.0818208009219245
chr1H	220000000	230000000	3681	497	0.135017658245042
chr1H	230000000	240000000	5875	350	0.0595744680851064
chr1H	240000000	250000000	8577	138	0.0160895417978314
chr1H	250000000	260000000	9996	382	0.0382152861144458
chr1H	260000000	270000000	13454	172	0.0127843020663
chr1H	270000000	280000000	14421	173	0.0119963941474239
chr1H	280000000	290000000	17760	364	0.0204954954954955
chr1H	290000000	300000000	9888	86	0.00869741100323625
chr1H	300000000	310000000	13291	260	0.0195621096982921
chr1H	310000000	320000000	15165	729	0.0480712166172107
chr1H	320000000	330000000	21392	1002	0.0468399401645475
chr1H	330000000	340000000	6879	794	0.115423753452537
chr1H	340000000	350000000	14001	790	0.0564245411042068
chr1H	350000000	360000000	14335	824	0.0574816881757935
chr1H	360000000	370000000	24732	1040	0.042050784408863
chr1H	370000000	380000000	22006	814	0.0369899118422248
chr1H	380000000	390000000	25621	363	0.0141680652589673
chr1H	390000000	400000000	25014	834	0.0333413288558407
chr1H	400000000	410000000	30120	1236	0.0410358565737052
chr1H	410000000	420000000	28039	977	0.0348443239773173
chr1H	420000000	430000000	24147	1157	0.0479148548473931
chr1H	430000000	440000000	28369	955	0.0336635059395819
chr1H	440000000	450000000	29890	1395	0.0466711274673804
chr1H	450000000	460000000	34647	1440	0.0415620400034635
chr1H	460000000	470000000	29269	1197	0.0408965116676347
chr1H	470000000	480000000	30563	1298	0.0424696528482152
chr1H	480000000	490000000	40852	694	0.0169881523548419
chr1H	490000000	500000000	44365	611	0.0137721176603178
chr1H	500000000	510000000	35216	534	0.0151635620172649
chr1H	510000000	520000000	58267.1481029645	1579	0.0270993184222734
chr1H	520000000	530000000	73566.8518970355	2728	0.0370819184137187
chr1H	530000000	540000000	84477	2510	0.0297122293642056
chr1H	540000000	550000000	64903	3917	0.0603516016208804
