chr	starting	ending	codon_nb	del_SNP_nb	delSNP_codonNb
chr1H	0	10000000	114946	1710	0.014876550728168
chr1H	10000000	20000000	53623	452	0.00842921880536337
chr1H	20000000	30000000	51767	241	0.00465547549597234
chr1H	30000000	40000000	36166	258	0.00713377205109772
chr1H	40000000	50000000	19921	176	0.00883489784649365
chr1H	50000000	60000000	23806	124	0.00520877089809292
chr1H	60000000	70000000	15083	80	0.00530398461844461
chr1H	70000000	80000000	24815	184	0.0074148700382833
chr1H	80000000	90000000	29988	151	0.00503534747232226
chr1H	90000000	100000000	15956	69	0.00432439207821509
chr1H	100000000	110000000	19402	29	0.00149469126894135
chr1H	110000000	120000000	10930	4	0.000365965233302836
chr1H	120000000	130000000	12228	7	0.000572456656853124
chr1H	130000000	140000000	11996	28	0.00233411137045682
chr1H	140000000	150000000	9141	5	0.000546986106552894
chr1H	150000000	160000000	7576	23	0.00303590285110876
chr1H	160000000	170000000	9156	1	0.000109217999126256
chr1H	170000000	180000000	6739	5	0.000741949844190533
chr1H	180000000	190000000	8627	8	0.000927321200880955
chr1H	190000000	200000000	7619	28	0.00367502296889356
chr1H	200000000	210000000	4063	1	0.00024612355402412
chr1H	210000000	220000000	4678	0	0
chr1H	220000000	230000000	4761	6	0.00126023944549464
chr1H	230000000	240000000	6348	16	0.00252047889098929
chr1H	240000000	250000000	9803	8	0.000816076711210854
chr1H	250000000	260000000	11014	43	0.00390412202651171
chr1H	260000000	270000000	17046	14	0.000821307051507685
chr1H	270000000	280000000	15788	11	0.000696731694958196
chr1H	280000000	290000000	18408	16	0.000869187309865276
chr1H	290000000	300000000	11081	6	0.00054146737659056
chr1H	300000000	310000000	14666	29	0.00197736260739125
chr1H	310000000	320000000	17032	31	0.00182010333489901
chr1H	320000000	330000000	24002	74	0.00308307641029914
chr1H	330000000	340000000	8955	22	0.00245672808486879
chr1H	340000000	350000000	15020	62	0.00412782956058589
chr1H	350000000	360000000	18219	109	0.00598276524507382
chr1H	360000000	370000000	26207	84	0.00320525050559011
chr1H	370000000	380000000	24431	63	0.00257869100732676
chr1H	380000000	390000000	28531	21	0.00073604149872069
