Chromosome	LeftBP	RightBP	Smoothed_cMMb
chr1H	479172	977915	0
chr1H	977915	979435	0
chr1H	979435	1025676	0
chr1H	1025676	1431785	0
chr1H	1431785	1562127	0
chr1H	1562127	1913952	0
chr1H	1913952	2477595	0.116415334688587
chr1H	2477595	2514495	0.284219323446054
chr1H	2514495	4153876	0.75260649651835
chr1H	4153876	4285541	0.871358101639645
chr1H	4285541	4312779	0.882012814339705
chr1H	4312779	4653990	0.906717937840357
chr1H	4653990	5770204	1.00444072883162
chr1H	5770204	5770474	1.07930285386521
chr1H	5770474	7137635	1.00605044100043
chr1H	7137635	7228966	0.927919948022002
chr1H	7228966	8468465	0.856628227552862
chr1H	8468465	8935905	0.765188586091613
chr1H	8935905	8936302	0.648087344642863
chr1H	8936302	9161205	0.591693964687017
chr1H	9161205	9161346	0.535364662428767
chr1H	9161346	9161622	0.535260285866665
chr1H	9161622	10747464	0.138249389156468
chr1H	10747464	11194860	0
chr1H	11194860	11499463	0
chr1H	11499463	12554357	0.0116082057831153
chr1H	12554357	12554537	0.454370388131831
chr1H	12554537	13581567	0.885439432891178
chr1H	13581567	13590934	1.32036380549411
chr1H	13590934	13602737	1.32924780358365
chr1H	13602737	14374682	1.65814793276078
chr1H	14374682	15607330	1.164483846902
chr1H	15607330	17000625	0.517802076282099
chr1H	17000625	17570246	0.797355801591071
chr1H	17570246	18359684	0.990909680801739
chr1H	18359684	18807356	1.16709587986323
chr1H	18807356	19370549	1.31106081597586
chr1H	19370549	20336402	1.17971570596837
chr1H	20336402	22567867	0.905065967216934
chr1H	22567867	23815813	0.75751574130647
chr1H	23815813	23923839	0.700013487353642
chr1H	23923839	27636684	0.262030273034345
chr1H	27636684	27866547	0
chr1H	27866547	28643791	0
chr1H	28643791	30202779	1.35567523376473
chr1H	30202779	31354146	3.7346910238
chr1H	31354146	31372975	2.6844777096952
chr1H	31372975	31676923	2.39479572233
chr1H	31676923	34087694	0
chr1H	34087694	36687040	0.567169846423292
chr1H	36687040	37114410	0.688675400125193
chr1H	37114410	37164507	0.70784300362991
chr1H	37164507	37694302	0.731122392428629
chr1H	37694302	38549056	0.786704215392003
chr1H	38549056	39019703	0.353297934842026
chr1H	39019703	40390268	0
chr1H	40390268	46538882	0.225804228665136
chr1H	46538882	59789397	0.143638174417164
chr1H	59789397	61118929	0.00406761521839889
chr1H	61118929	64113901	0
chr1H	64113901	66850934	0
chr1H	66850934	69960449	0.0442505574279707
chr1H	69960449	76992307	0.0980287822359153
chr1H	76992307	77984995	0
chr1H	77984995	80265534	0
chr1H	80265534	80434237	0
chr1H	80434237	81225718	0
chr1H	81225718	84338615	0
chr1H	84338615	88883076	0.138501532599661
chr1H	88883076	92433217	3.21081088056753e-16
chr1H	92433217	94329369	0
chr1H	94329369	98026235	0
chr1H	98026235	98741946	0
chr1H	98741946	109055279	0.0751703590995773
chr1H	109055279	114814678	0
chr1H	114814678	116969279	0
chr1H	116969279	130506760	0
chr1H	130506760	185736870	0.0143415132543705
chr1H	185736870	243566375	0
chr1H	243566375	261773377	0
chr1H	261773377	272999970	0
chr1H	272999970	293656757	0
chr1H	293656757	303519071	0
chr1H	303519071	314308188	0
chr1H	314308188	315508280	0
chr1H	315508280	317349136	0
chr1H	317349136	317349862	0
chr1H	317349862	320494641	0
chr1H	320494641	321396626	0.33066362360014
chr1H	321396626	322116949	0.463223427402757
chr1H	322116949	324191509	0.226514336331662
chr1H	324191509	324791460	0
chr1H	324791460	324791460	0.792207195836931
chr1H	324791460	325808056	2.13457459994
chr1H	325808056	331415858	0
chr1H	331415858	339656884	NA
chr1H	339656884	348204358	0.236796284959959
chr1H	348204358	348209587	0
chr1H	348209587	349489471	0
chr1H	349489471	350423508	0
chr1H	350423508	351866364	0.292482631738741
chr1H	351866364	351869039	0.244009056198357
chr1H	351869039	352305952	0.229268174041803
chr1H	352305952	355284988	0.114719774945832
chr1H	355284988	355336584	0.0573992788703774
chr1H	355336584	357285032	0.0195710258021276
chr1H	357285032	361246394	0.147933596481102
chr1H	361246394	362148631	0.308281010951253
chr1H	362148631	364324491	0.174305978184242
chr1H	364324491	365007316	0.0498809140795167
chr1H	365007316	368821886	0.226820487995601
chr1H	368821886	370569348	0.43493581150702
chr1H	370569348	374506358	0.00124949430594873
chr1H	374506358	374864785	2.1265100232896
chr1H	374864785	375075126	2.40792031531552
chr1H	375075126	375902959	2.92157939689839
chr1H	375902959	376377160	2.25722450625712
chr1H	376377160	376489578	1.95790574684446
