Phe,11_10460,11_20712,12_11498,11_10552,11_10279,11_21038,11_10586,11_10722,12_31377,12_30277,11_20594,11_20840,12_31224,11_10326,12_30155,11_21265,11_10307,12_30604,12_30900,11_10214,12_31095,11_21220,11_10780,11_10109,12_30396,11_20159,12_30767,11_20605,11_11516,12_30055,12_31458,12_30540,12_31313,11_20114,11_11114,12_30755,11_11513,11_10467,11_10309,11_11004,11_10523,11_10724,11_20765,11_20384,12_30117,11_20119,11_20454,11_20894,11_10688,11_20845,11_20903,11_20239,11_21480,11_11290,11_10578,11_11350,11_20134,12_30067,11_20646,11_10600,12_30494,12_31292,12_10857,12_10554,11_10676,11_10539,11_20656,12_30144,11_11067,11_10270,11_20904,11_11349,11_20889,12_30940,11_11147,12_31235,11_21112,12_30956,12_11433,11_20245,12_10979,11_21491,12_10959,11_11014,11_10078,11_10454,11_21223,11_10896,11_20170
,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,3H,3H,3H,3H,3H,4H,4H,4H,4H,4H,4H,4H,4H,4H,4H,4H,4H,4H,4H,4H,4H,4H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,7H,7H,7H,7H,7H,7H,7H,7H,7H,7H,7H
,3.21,20.33,34.45,54.54,77.57,122.34,123.10,126.61,128.04,138.86,139.60,140.69,4.59,4.72,10.86,27.50,30.42,55.46,99.39,105.62,133.04,136.33,137.03,143.71,151.92,6.31,167.33,171.65,174.99,178.99,12.34,14.88,32.92,44.99,59.80,77.66,80.73,82.81,85.07,86.66,88.30,91.42,95.77,99.36,108.34,109.65,111.13,1.26,28.98,33.55,38.78,47.47,78.19,83.17,83.80,93.66,95.11,123.78,157.61,167.40,171.58,184.99,188.70,23.62,32.05,50.33,58.48,61.19,62.71,64.65,72.17,80.06,86.54,88.88,95.70,103.32,139.75,142.20,7.33,7.87,36.92,41.51,52.52,54.32,137.31,139.90,144.96,150.44,162.45
NA,B,H,H,A,H,H,H,A,A,A,A,A,A,A,H,A,B,A,A,A,H,A,A,H,A,A,A,A,A,A,A,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,B,A,A,A,B,B,A,A,H,H,H,A,B,B,B,B,B
NA,H,A,A,H,A,H,H,H,H,H,H,H,B,H,H,H,A,B,-,H,H,B,B,B,H,H,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,B,H,-,H,H,B,B,B,B,H,B,B,H,H,H,A,A,H,B,B,H,H,H,H,H,H,B,H,H,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
NA,H,A,A,H,H,H,H,H,H,B,B,B,A,A,A,A,B,A,A,A,A,H,H,H,A,H,B,B,B,B,B,A,H,H,B,B,H,B,H,H,B,H,H,B,B,-,B,A,A,A,A,A,A,A,A,A,A,A,B,H,H,A,A,B,A,A,A,A,A,A,A,A,B,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,H
NA,H,A,A,A,B,A,A,A,H,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,A,A,A,A,B,A,B,A,H,B,B,B,B,B,B,B,B,B,B,-,B,A,B,H,H,H,A,A,A,A,A,A,A,B,H,H,H,B,A,A,A,A,A,A,A,A,B,A,A,A,H,B,-,H,B,B,B,B,A,A,A,A,A
NA,B,B,B,A,H,A,A,A,A,A,A,A,B,B,H,H,A,B,H,H,H,B,B,B,B,H,B,B,B,B,A,B,A,B,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,B,A,A,A,H,H,A,A,A,A,A,A,H,H,H,H,H
NA,H,A,A,A,A,A,A,A,H,H,-,H,H,H,A,A,H,H,A,A,A,H,H,H,H,B,B,B,B,B,B,B,B,A,A,A,B,A,B,B,B,B,B,B,B,-,B,H,H,H,H,H,H,A,A,H,H,H,A,A,A,H,H,H,H,H,H,H,H,A,H,H,H,H,H,H,A,A,B,B,B,B,B,H,B,B,B,B,B
NA,B,A,A,A,B,A,A,A,A,A,A,A,A,H,A,A,B,B,A,A,A,A,A,A,H,B,B,B,B,B,B,A,H,H,B,B,B,B,B,B,B,H,H,B,B,B,B,A,A,A,A,A,A,H,H,A,A,A,H,H,H,B,B,A,B,B,B,B,B,H,B,B,A,B,B,B,A,A,-,H,H,H,H,H,H,B,B,B,B
NA,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,A,A,A,A,A,H,A,A,B,H,B,H,B,H,H,B,A,A,H,H,-,H,B,A,B,B,B,A,H,H,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,B,A,A,A,A,H,B,H,B,H,H,H,B,B,B,B,B
